timeStamp,sessionId,participantId,action,actor,x,y,z,target
2018-04-04 11:02:59.320 +03:00,59297, ,BeginRound1,,,,,
2018-04-04 11:02:59.388 +03:00,55111, ,BeginRound1,,,,,
2018-04-04 11:02:59.446 +03:00,32801, ,BeginRound1,,,,,
2018-04-04 11:02:59.620 +03:00,34547, ,BeginRound1,,,,,
2018-04-04 11:03:00.016 +03:00,38627, ,BeginRound1,,,,,
2018-04-04 11:03:01.368 +03:00,53049, ,BeginRound1,,,,,
2018-04-04 11:03:01.968 +03:00,34547,A,moved,A,3.1,-0.4,0.7,
2018-04-04 11:03:02.519 +03:00,55111,B BOT,THANK,B,3.9,1.1,-4.2,A
2018-04-04 11:03:02.519 +03:00,55111,A BOT,THANK,A,-5.3,1.1,-3.7,C
2018-04-04 11:03:02.667 +03:00,34547,D BOT,ASK,D,-4.6,1.1,4.4,C
2018-04-04 11:03:03.009 +03:00,59297,D,moved,D,-4,0.5,0.2,
2018-04-04 11:03:03.096 +03:00,38627,D BOT,THANK,D,-2.5,1.1,-3.8,A
2018-04-04 11:03:03.142 +03:00,34547,A,moved,A,2.8,-0.4,-0.5,
2018-04-04 11:03:03.200 +03:00,59297,C BOT,EnterTP,C,-5,1.1,-2.6,
2018-04-04 11:03:03.339 +03:00,59297,C BOT,Activated,C,-4.9,1.1,-2.3,
2018-04-04 11:03:03.341 +03:00,59297,C BOT,Activated,C,-4.9,1.1,-2.3,
2018-04-04 11:03:03.434 +03:00,34547,A,EnterTP,A,5,1.1,3.3,
2018-04-04 11:03:03.471 +03:00,59297,B BOT,EnterTP,B,5.3,1.1,-2.6,
2018-04-04 11:03:03.884 +03:00,32801,D BOT,EnterTP,D,-3.8,1.1,-2.6,
2018-04-04 11:03:03.887 +03:00,32801,B,moved,B,0,-0.4,-1.6,
2018-04-04 11:03:04.105 +03:00,38627,C BOT,EnterTP,C,-4.7,1.1,-2.6,
2018-04-04 11:03:04.542 +03:00,53049,D BOT,EnterTP,D,5.3,1.1,-2.6,
2018-04-04 11:03:04.569 +03:00,32801,B,moved,B,4,0.5,0.5,
2018-04-04 11:03:05.206 +03:00,34547,A,moved,A,2.5,-0.4,-1.1,
2018-04-04 11:03:05.284 +03:00,32801,B,moved,B,1.9,-0.4,-0.6,
2018-04-04 11:03:05.359 +03:00,32801,B,EnterTP,B,5.1,1.1,3.3,
2018-04-04 11:03:05.950 +03:00,32801,B,moved,B,4,0.5,-0.8,
2018-04-04 11:03:06.106 +03:00,32801,D BOT,exitTP,D,-1.1,1.1,-0.7,
2018-04-04 11:03:06.546 +03:00,32801,B,moved,B,5,0.5,0.4,
2018-04-04 11:03:07.097 +03:00,34547,A,moved,A,-0.5,-0.4,1.6,
2018-04-04 11:03:07.284 +03:00,34547,A,moved,A,1,-0.4,2.8,
2018-04-04 11:03:07.284 +03:00,59297,C BOT,Deactivated,C,-4.2,1.1,0.4,
2018-04-04 11:03:07.286 +03:00,59297,C BOT,Activated,C,-4.2,1.1,0.4,
2018-04-04 11:03:07.364 +03:00,34547,A,moved,A,2.5,-0.4,3.2,
2018-04-04 11:03:07.473 +03:00,32801,D BOT,Kick,D,0.8,1.1,-0.1,C
2018-04-04 11:03:07.473 +03:00,32801,C BOT,Kick,C,2.3,1.1,1.8,B
2018-04-04 11:03:07.503 +03:00,55111,B BOT,ASK,B,-5.3,1.1,-3.7,C
2018-04-04 11:03:07.572 +03:00,32801,C BOT,EnterTP,C,2.3,1.1,1.8,
2018-04-04 11:03:07.643 +03:00,32801,B,moved,B,5.1,0.5,0.5,
2018-04-04 11:03:07.727 +03:00,32801,B,exitTP,B,2.2,1.1,-2.7,
2018-04-04 11:03:07.872 +03:00,32801,C BOT,exitTP,C,7.5,1.1,3.4,
2018-04-04 11:03:08.260 +03:00,34547,A,moved,A,4.4,-0.4,4.7,
