timeStamp,sessionId,actor,action,x,y,z,target
4/25/2018 14:07:22:108,59740,B,Move,-5.3, 1.1, -3.8,
4/25/2018 14:07:22:124,59740,,BeginRound1,,
4/25/2018 14:07:25:236,59740,B,Move,-5.3, 1.1, -3.8,
4/25/2018 14:07:25:240,59740,C BOT_moral,Thank,-4.6, 1.1, 4.4,B
4/25/2018 14:07:25:242,59740,A BOT,Ask,5.3, 1.1, -4.2,C BOT_moral
4/25/2018 14:07:27:205,59740,B,Move,-3.9, 1.1, -2.6,
4/25/2018 14:07:27:206,59740,B,EnterTP,-3.9, 1.1, -2.6,
4/25/2018 14:07:33:970,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:971,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:972,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:973,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:33:973,59740,B,Move,-4.2, 1.1, -0.8,
4/25/2018 14:07:34:338,59740,C BOT_moral,EnterTP,-4.5, 1.1, 3.3,
4/25/2018 14:07:34:464,59740,C BOT_moral,Activated,-4.5, 1.1, 3.1,
4/25/2018 14:07:35:822,59740,B,Move,-2.5, 1.1, -1.1,
4/25/2018 14:07:37:207,59740,B,exitTP,-1.1, 1.1, -1.2,
4/25/2018 14:07:37:460,59740,A BOT,EnterTP,2.3, 1.1, -1.2,
4/25/2018 14:07:40:499,59740,C BOT_moral,exitTP,-1.1, 1.1, 0.2,
4/25/2018 14:07:40:625,59740,B,EnterTP,2.3, 1.1, -1.3,
4/25/2018 14:07:40:881,59740,A BOT,Activated,5.1, 1.1, 0.3,
4/25/2018 14:07:43:780,59740,C BOT_moral,EnterTP,-1.2, 1.1, 0.2,
4/25/2018 14:07:43:908,59740,B,Kick,5.0, 1.1, -1.9,A BOT
4/25/2018 14:07:43:911,59740,C BOT_moral,TakeOff,-1.5, 1.1, 0.3,
4/25/2018 14:07:44:32,59740,C BOT_moral,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:07:44:631,59740,A BOT,exitTP,7.5, 1.1, 3.5,
4/25/2018 14:07:48:870,59740,A BOT,EnterTP,7.3, 1.1, 3.3,
4/25/2018 14:07:49:562,59740,A BOT,Activated,6.9, 1.1, 2.7,
4/25/2018 14:07:51:410,59740,B,Move,5.7, 1.1, -1.4,
4/25/2018 14:07:52:106,59740,B,Move,5.1, 1.1, -1.6,
4/25/2018 14:07:53:277,59740,C BOT_moral,Saved,-14.4, 1.7, -6.1,A BOT
4/25/2018 14:07:53:393,59740,A BOT,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:07:54:990,59740,B,exitTP,2.2, 1.1, -1.5,
4/25/2018 14:07:55:107,59740,B,Move,2.1, 1.1, -1.5,
4/25/2018 14:08:00:466,59740,C BOT_moral,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:08:00:466,59740,A BOT,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:08:00:467,59740,B,Spawned,1.5, 1.1, -1.3,
4/25/2018 14:08:00:467,59740,,EndRound1,,
4/25/2018 14:08:03:494,59740,,BeginRound2,,
4/25/2018 14:08:08:75,59740,B,Move,6.1, 1.1, 5.0,
4/25/2018 14:08:08:922,59740,B,Move,6.0, 1.1, 4.2,
4/25/2018 14:08:09:897,59740,B,EnterTP,5.8, 1.1, 3.3,
4/25/2018 14:08:12:986,59740,C BOT_moral,EnterTP,2.3, 1.1, -1.7,
4/25/2018 14:08:13:866,59740,C BOT_moral,Activated,3.1, 1.1, -1.2,
4/25/2018 14:08:14:737,59740,A BOT,EnterTP,-2.4, 1.1, -2.6,
4/25/2018 14:08:15:740,59740,B,Kick,5.6, 1.1, -0.8,C BOT_moral
4/25/2018 14:08:15:867,59740,A BOT,TakeOff,-2.5, 1.1, -1.8,
4/25/2018 14:08:15:992,59740,A BOT,exitTP,-15.3, 0.6, -5.0,
4/25/2018 14:08:15:992,59740,C BOT_moral,exitTP,1.5, 1.1, -0.4,
4/25/2018 14:08:16:243,59740,C BOT_moral,EnterTP,-1.8, 1.1, -0.9,
4/25/2018 14:08:16:833,59740,C BOT_moral,exitTP,-7.8, 1.1, -1.9,
4/25/2018 14:08:19:370,59740,C BOT_moral,EnterTP,-7.1, 1.1, -1.7,
4/25/2018 14:08:21:925,59740,A BOT,Saved,-14.4, 1.7, -6.1,B
4/25/2018 14:08:22:41,59740,B,exitTP,-8.8, 0.6, -10.5,
4/25/2018 14:08:29:131,59740,C BOT_moral,Spawned,-4.4, 1.1, -1.3,
4/25/2018 14:08:29:131,59740,A BOT,Spawned,-14.4, 1.7, -6.1,
4/25/2018 14:08:29:132,59740,B,Spawned,-8.8, 1.7, -10.5,
4/25/2018 14:08:29:132,59740,,EndRound2,,
4/25/2018 14:08:29:245,59740,C BOT_moral,exitTP,-5.3, 0.5, -3.8,
4/25/2018 14:08:32:226,59740,,BeginRound3,,
